feature,importance
num__session_duration,0.3677557840312233
cat__device_type_desktop,0.05740686998882182
cat__device_type_mobile,0.05522760315075108
cat__location_Saint Marie,0.028585349653569986
num__avg_order_value,0.020997033575671366
cat__device_type_tablet,0.018669551221134107
cat__location_Saint Philippinenec,0.015113948110766598
cat__location_Merle,0.014502430625051493
cat__location_Rousset-sur-Laurent,0.014424555366012117
cat__location_Delannoy,0.012527738760221363
cat__location_Leducnec,0.010638564740713768
cat__location_Sainte Antoinette,0.009704449696706178
cat__location_BlanchetBourg,0.009592771790191437
cat__location_Sainte Geneviève-les-Bains,0.009562215126760127
cat__location_Allain,0.00895256532671071
cat__location_Peltierdan,0.008469873911650138
cat__location_Sainte AuroreBourg,0.00845884585033799
cat__location_Dumont-la-Forêt,0.008455020850229894
cat__location_Ferreira-la-Forêt,0.008361547596071292
cat__location_Sainte Aimé-sur-Mer,0.008359084090287015
cat__location_Sainte Jacques-sur-Mer,0.0080916535989285
cat__location_Noëlnec,0.007606738171636891
cat__location_Dupuis,0.007306804517594124
cat__location_MaillotVille,0.007297114482215932
cat__location_Navarro,0.006580827719020247
cat__location_Sainte Paul,0.006570006886234038
cat__location_Fernandez,0.0065678258405249094
cat__location_Fouquetnec,0.006314258879776978
cat__location_Sainte Victoire,0.006244926859759147
cat__location_Aubert,0.006185156106064971
cat__location_ReyBourg,0.005141197189555919
cat__location_Buisson,0.005017828340029818
cat__location_Leclercq-sur-Laine,0.004979515979169277
num__age,0.00492469084741292
cat__location_Micheldan,0.004785997683702785
cat__location_Hubert-les-Bains,0.004729945572078941
cat__location_Duhameldan,0.004681930710539717
cat__location_Grégoiredan,0.004671609291362088
cat__location_Saint Dominique,0.0046548460791936
num__total_orders,0.004632559352347046
cat__location_Humbertnec,0.0043660126810717405
cat__location_Masson,0.004365683497902123
cat__location_Wagner-sur-Verdier,0.004360355499621153
cat__location_Rémy,0.004290384238335794
cat__location_Lecoq-la-Forêt,0.00421542481221636
cat__location_Garnier-sur-Rousseau,0.00420924486799651
cat__location_Torres-sur-Roussel,0.004089424026302281
cat__location_Godard,0.003930855651641413
cat__location_ArnaudBourg,0.003856234395874963
cat__location_Meyer,0.003849183669455946
cat__location_Mallet,0.00381940525330141
cat__location_Tanguy,0.0038190854596054733
cat__location_Maury-sur-Martinez,0.003793333561043004
cat__location_HuetVille,0.0037535336520650004
cat__location_Saint Rogernec,0.003654590247005514
cat__location_Sainte PhilippineVille,0.0035371966399260794
cat__location_Pasquier-sur-Thierry,0.0034950082248610182
cat__location_Seguin,0.003491953527585097
cat__location_Guillot-sur-Charrier,0.0033578446824253584
cat__location_MalletVille,0.0032440833220739947
cat__location_Gomez,0.0030861767363202968
cat__location_Dumont,0.0030752639585555313
cat__location_Ramos-sur-Mer,0.003050449948864376
cat__location_LévêqueBourg,0.0030067022117295393
cat__location_Saint Constance,0.0029947888461312596
cat__location_GeorgesVille,0.0029867952457141187
cat__location_Sainte Adèle,0.0029744948274752453
cat__location_Traore-sur-Mer,0.0029681675369901727
cat__location_Grenier-la-Forêt,0.0028891173674203854
cat__location_Leclerc-sur-Coulon,0.0028673253758419504
cat__location_Rocher,0.002861340041831193
cat__location_Étienne,0.0028314815868396917
cat__location_Sainte Pauline-sur-Mer,0.002784137088192224
cat__location_Jean,0.0027669559840502217
cat__location_Laroche-sur-Millet,0.0025951317714946525
cat__location_Goncalves-sur-Mer,0.0025915873925961407
cat__location_Royer-sur-Baudry,0.002403034266375905
cat__location_Coste-sur-Mer,0.0023373089102883787
cat__location_Bailly-sur-Mer,0.0023164985716264117
cat__location_Roy-sur-Guillaume,0.0023135524350761895
cat__location_Saint Christine,0.002257211881664928
cat__location_Brunboeuf,0.00210073969858523
cat__location_Coulon-les-Bains,0.0017134255167812371
cat__location_Gosselindan,0.0016000268182553912
cat__location_Sainte Anaïs-les-Bains,0.001565269519877439
cat__location_Albert-sur-Pruvost,0.0015448578221769515
cat__location_JacquotVille,0.0014740154203677282
cat__location_Sainte Vincent,0.0014139598555378264
cat__location_Fleury,0.0013408091948383116
cat__location_Bourdon-sur-Moreno,0.0012446643470545734
cat__location_Saint Vincent,0.001198824958505495
cat__location_Le Roux,0.0011977549226833105
cat__location_Lecoq-sur-Gomez,0.0011957122766815779
cat__location_Foucher,0.0011889153411912988
cat__location_Bègue,0.001188673117492776
cat__location_Carpentierdan,0.0011844533191591815
cat__location_Sainte Madeleinenec,0.00117335093044174
cat__location_Moulin,0.0011663725968032277
cat__location_Charrier-sur-Hardy,0.001165560082220379
cat__location_Sainte Alain,0.001161916521063174
cat__location_Sainte IsaacVille,0.0011576432444994273
cat__location_Briand,0.0011494826039230403
cat__location_Lecomte-sur-David,0.0011284790386308684
cat__location_Imbert-la-Forêt,0.0011130950875274717
cat__location_Parentnec,0.0011054469655958081
cat__location_Pinto-sur-Mer,0.001099146003526507
cat__location_Pruvost,0.0010988980255727525
cat__location_Gérard-sur-Mer,0.001093218767155969
cat__location_Saint Audreyboeuf,0.0010656638777763728
cat__preferred_category_home,0.0010429387952416022
cat__location_Fabre-la-Forêt,0.00102709383180697
cat__location_Delattre,0.001010241631465614
cat__location_Saint Suzanne,0.0009533959110434683
cat__location_Marty-sur-Poulain,0.0008690827139941971
cat__location_Maillarddan,0.0008303516320194138
cat__preferred_category_electronics,0.0008158014906310851
cat__preferred_category_beauty,0.0007423643425017502
cat__location_VasseurBourg,0.0007219684869676882
cat__location_Roy,0.0006819591419080955
cat__location_Lecoqdan,0.0005838935100503405
cat__location_Laine,0.0005580236550255029
cat__location_Lelièvre-sur-Guillou,0.00048117207005585633
cat__location_Traore,0.00035938094602434634
cat__location_Guérin-sur-Gérard,0.0003550057628238706
cat__location_Leroy-les-Bains,0.0003447146517596299
cat__location_Sainte ValentineBourg,0.00034213125263096836
cat__location_Millet,0.0003417778555496153
cat__location_Saint Catherine,0.00034115766067178293
cat__location_Bodindan,0.0003399867410912989
cat__location_Saint Marianneboeuf,0.0003378908440732225
cat__location_Rocher-sur-Bernard,0.0003376383481150834
cat__location_Saint Hugues,0.0003356717998363911
cat__location_Marie,0.0003232065769724142
