product_id,name,category,subcategory,price,brand,rating,review_count,stock_quantity,is_featured,creation_date
prod_00000,La possibilité de concrétiser vos projets autrement,electronics,tablet,33.82,Roussel Delmas SARL,3.9,45,922,False,2024-12-21
prod_00001,La possibilité de concrétiser vos projets autrement,books,cookbooks,54.42,Mallet S.A.R.L.,4.2,42,529,False,2024-12-08
prod_00002,Le droit d'innover avant-tout,electronics,laptop,22.45,Valette SA,4.1,45,306,False,2025-01-27
prod_00003,Le pouvoir de rouler à la pointe,sports,fitness,115.67,Chevalier Gimenez et Fils,4.6,44,772,False,2025-05-29
prod_00004,Le confort d'innover avant-tout,beauty,makeup,92.31,Petit,3.2,46,867,False,2025-07-15
prod_00005,La liberté d'atteindre vos buts à l'état pur,home,decor,180.26,Vallée,4.1,50,214,False,2025-08-14
prod_00006,Le confort d'atteindre vos buts sans soucis,electronics,headphones,165.25,Chevallier,3.9,43,734,False,2025-09-01
prod_00007,Le pouvoir d'évoluer naturellement,toys,action_figures,158.04,Lévêque François SA,3.6,53,641,False,2025-07-11
prod_00008,Le plaisir de louer de manière sûre,sports,team_sports,30.53,Maurice,3.8,38,200,True,2025-07-31
prod_00009,Le plaisir de rouler de manière efficace,electronics,tablet,149.6,Laine,4.6,42,479,False,2025-08-13
prod_00010,Le confort d'évoluer autrement,sports,team_sports,84.74,Roger S.A.S.,3.9,42,631,False,2025-02-16
prod_00011,La possibilité de louer naturellement,toys,action_figures,62.31,Hamon S.A.R.L.,4.2,43,208,False,2025-01-06
prod_00012,Le confort de louer plus facilement,electronics,laptop,33.21,Navarro,4.2,34,372,False,2024-12-15
prod_00013,L'assurance de changer autrement,electronics,smartphone,58.59,Riou Delahaye S.A.,4.1,47,264,False,2025-06-17
prod_00014,L'art d'innover à l'état pur,books,cookbooks,64.59,Girard Auger et Fils,4.5,43,845,False,2025-09-05
prod_00015,Le confort d'atteindre vos buts en toute tranquilité,sports,outdoor,91.23,Fernandez,5.0,51,233,False,2025-08-17
prod_00016,L'assurance d'avancer en toute tranquilité,fashion,accessories,105.53,Navarro,3.6,25,639,False,2024-11-27
prod_00017,Le plaisir de changer avant-tout,toys,board_games,25.41,Joseph,5.0,42,607,False,2025-02-15
prod_00018,L'art d'avancer de manière sûre,beauty,makeup,64.02,Delmas S.A.R.L.,4.2,46,960,False,2025-09-21
prod_00019,Le pouvoir d'innover à l'état pur,toys,board_games,97.83,Chauveau et Fils,5.0,56,268,False,2025-05-21
prod_00020,La liberté de changer de manière sûre,toys,educational,104.86,Mathieu Boulay S.A.,4.5,41,75,False,2025-05-13
prod_00021,L'art d'atteindre vos buts à la pointe,beauty,skincare,64.86,Arnaud S.A.,3.8,55,651,False,2025-06-08
prod_00022,La possibilité de concrétiser vos projets plus facilement,toys,board_games,28.25,Loiseau Pons SARL,4.2,46,965,False,2025-04-09
prod_00023,Le droit de changer sans soucis,electronics,smartphone,254.35,Mathieu,4.5,48,742,False,2025-03-27
prod_00024,L'assurance d'évoluer naturellement,home,appliances,92.63,Moulin,3.7,47,460,False,2024-12-30
prod_00025,L'avantage d'avancer à la pointe,sports,outdoor,97.54,Evrard,4.6,46,101,False,2025-02-19
prod_00026,Le pouvoir de concrétiser vos projets de manière efficace,beauty,fragrance,61.81,Pons SARL,4.0,38,60,False,2024-10-15
prod_00027,Le plaisir de louer en toute tranquilité,fashion,accessories,119.24,Mendès,4.7,35,904,False,2024-11-13
prod_00028,Le plaisir de concrétiser vos projets plus facilement,electronics,smartphone,35.37,Guillou Barbe et Fils,5.0,44,121,False,2025-03-09
prod_00029,L'art d'atteindre vos buts à la pointe,books,science,91.25,Wagner SA,4.1,35,248,False,2025-02-15
prod_00030,Le plaisir d'avancer naturellement,books,business,48.49,Bousquet,4.4,56,204,False,2025-04-24
prod_00031,L'avantage d'innover plus facilement,electronics,smartphone,19.69,Perret S.A.,4.5,46,0,False,2024-11-28
prod_00032,L'avantage de rouler à sa source,toys,dolls,32.44,Bègue Weber SARL,4.0,44,38,False,2024-11-09
prod_00033,L'assurance de changer à sa source,books,fiction,48.39,Chauvin,3.8,44,93,False,2025-09-10
prod_00034,L'avantage de louer plus rapidement,toys,action_figures,31.52,Hoarau,3.9,42,444,False,2025-08-03
prod_00035,Le plaisir de changer avant-tout,electronics,tablet,83.37,Thierry SA,4.4,50,961,False,2025-08-03
prod_00036,Le confort de concrétiser vos projets sans soucis,beauty,makeup,18.99,Ferreira,4.1,45,798,False,2024-12-31
prod_00037,Le confort d'atteindre vos buts autrement,home,appliances,231.43,Mary S.A.R.L.,4.6,44,373,False,2025-05-17
prod_00038,L'avantage d'atteindre vos buts sans soucis,toys,action_figures,21.16,Leroux,4.8,33,656,False,2025-09-23
prod_00039,Le confort de louer plus facilement,beauty,makeup,18.69,De Sousa,4.0,42,36,False,2025-05-17
prod_00040,Le pouvoir d'avancer à sa source,home,decor,46.82,Masson,4.4,58,579,False,2024-11-17
prod_00041,Le plaisir d'avancer naturellement,home,kitchen,69.69,Renault S.A.,4.3,42,394,False,2025-04-28
prod_00042,Le plaisir de louer de manière sûre,books,fiction,43.83,Normand,4.0,38,7,False,2025-02-22
prod_00043,La liberté de rouler naturellement,toys,action_figures,87.4,Poulain,3.4,38,752,False,2025-07-07
prod_00044,Le droit de rouler à la pointe,fashion,clothing,32.33,Gilles Arnaud S.A.,3.7,47,301,False,2024-10-18
prod_00045,L'avantage de rouler autrement,home,decor,47.48,Hoareau Lemaître SARL,4.9,55,151,False,2025-04-21
prod_00046,Le pouvoir de concrétiser vos projets à sa source,fashion,clothing,79.86,Vidal,4.0,56,657,True,2025-06-10
prod_00047,La possibilité d'évoluer avant-tout,beauty,makeup,35.19,Turpin Michel S.A.,4.0,48,268,False,2024-12-14
prod_00048,Le droit de rouler plus facilement,home,decor,27.9,Dupuis SA,4.0,45,262,True,2025-06-15
prod_00049,L'art d'innover avant-tout,electronics,laptop,161.04,Jacques,5.0,48,141,False,2025-02-27
prod_00050,Le plaisir de rouler naturellement,books,business,33.53,Legrand,4.3,35,38,False,2025-01-31
prod_00051,L'assurance de louer plus facilement,sports,yoga,69.14,Deschamps,4.4,43,784,False,2025-04-07
prod_00052,L'avantage de concrétiser vos projets plus rapidement,sports,fitness,356.29,Bourgeois,4.6,45,701,False,2025-09-22
prod_00053,Le pouvoir de louer en toute tranquilité,books,science,58.46,Humbert Colas S.A.S.,3.3,41,592,False,2025-06-12
prod_00054,L'art de concrétiser vos projets sans soucis,books,science,57.51,Lopes Dupré SARL,4.1,40,767,False,2024-11-10
prod_00055,La liberté de changer de manière efficace,beauty,fragrance,129.51,Roux Gay S.A.S.,4.9,37,55,False,2025-06-14
prod_00056,Le droit de changer à sa source,sports,yoga,31.0,Lebrun S.A.,5.0,28,925,False,2025-02-16
prod_00057,Le plaisir d'atteindre vos buts plus rapidement,books,cookbooks,47.22,Delannoy Diallo S.A.,4.0,41,708,False,2025-07-16
prod_00058,La possibilité de concrétiser vos projets avant-tout,beauty,fragrance,93.92,Pineau S.A.S.,4.5,45,707,False,2025-05-22
prod_00059,La possibilité de louer naturellement,toys,board_games,28.38,Peron Nicolas S.A.R.L.,2.5,45,911,False,2025-07-19
prod_00060,Le pouvoir d'avancer plus facilement,home,furniture,49.17,Mahe Bodin S.A.,3.7,43,759,False,2024-10-28
prod_00061,L'art de concrétiser vos projets à sa source,sports,team_sports,53.49,Navarro S.A.R.L.,3.1,44,754,False,2024-12-04
prod_00062,La possibilité de concrétiser vos projets avant-tout,beauty,makeup,129.82,Lagarde S.A.S.,4.1,46,586,False,2024-11-24
prod_00063,Le pouvoir d'avancer plus facilement,fashion,accessories,123.24,Lagarde S.A.R.L.,3.0,40,38,False,2025-04-01
prod_00064,L'art de changer autrement,home,decor,51.99,Barbier S.A.S.,4.2,36,367,False,2024-12-21
prod_00065,Le pouvoir d'avancer de manière efficace,fashion,watches,51.19,Wagner,3.8,48,817,False,2025-02-02
prod_00066,L'avantage de rouler de manière efficace,home,appliances,23.0,Guillet,3.6,37,138,False,2025-02-20
prod_00067,Le plaisir d'atteindre vos buts à l'état pur,toys,dolls,104.99,Langlois SARL,2.5,53,262,False,2025-04-02
prod_00068,L'avantage d'atteindre vos buts autrement,beauty,makeup,84.7,Vasseur,4.8,41,625,False,2024-12-29
prod_00069,La liberté de changer naturellement,fashion,accessories,80.77,Bourdon,4.0,54,1,False,2024-10-09
prod_00070,La possibilité de concrétiser vos projets autrement,home,kitchen,33.29,Boyer S.A.S.,3.8,45,794,False,2025-09-20
prod_00071,Le droit de louer à l'état pur,home,kitchen,25.26,Gaillard,3.3,40,106,False,2025-08-01
prod_00072,Le pouvoir de rouler à l'état pur,books,fiction,92.6,Marques Martins et Fils,4.1,45,746,False,2025-07-04
prod_00073,L'assurance de rouler plus facilement,beauty,haircare,237.64,Diallo,4.3,57,235,False,2024-11-09
prod_00074,Le confort de rouler avant-tout,electronics,laptop,37.17,Joseph,3.3,43,964,False,2025-05-19
prod_00075,L'assurance de changer autrement,electronics,headphones,58.92,Colas Roux SARL,3.9,30,501,False,2024-12-23
prod_00076,L'avantage d'innover avant-tout,fashion,shoes,92.86,Gaudin Ollivier SARL,4.1,52,216,False,2024-11-02
prod_00077,Le droit de louer de manière efficace,books,science,60.04,Hardy Evrard S.A.,4.4,54,449,False,2025-08-18
prod_00078,Le confort d'évoluer à la pointe,toys,dolls,21.04,Buisson,4.3,40,650,False,2025-09-14
prod_00079,Le pouvoir de louer à l'état pur,home,kitchen,79.4,Dijoux,4.3,31,874,False,2024-11-10
prod_00080,Le droit de louer plus rapidement,sports,fitness,26.4,Georges S.A.,4.5,46,589,False,2025-03-29
prod_00081,L'art d'avancer en toute tranquilité,books,business,34.09,Pires et Fils,4.7,46,827,False,2024-12-05
prod_00082,L'assurance d'atteindre vos buts avant-tout,books,business,30.79,Loiseau,4.7,43,296,False,2025-05-06
prod_00083,L'art d'atteindre vos buts à la pointe,fashion,watches,48.75,Georges et Fils,4.6,45,269,False,2024-11-23
prod_00084,L'assurance de concrétiser vos projets à la pointe,sports,fitness,32.06,Breton Michaud SA,4.4,52,642,False,2025-02-12
prod_00085,La possibilité de changer avant-tout,books,business,34.32,Ledoux SARL,4.4,50,914,False,2025-01-23
prod_00086,Le confort d'innover naturellement,electronics,smartphone,33.89,Petitjean Martel S.A.,3.2,42,399,False,2025-04-26
prod_00087,L'avantage d'avancer à sa source,sports,team_sports,54.92,Pinto Lambert S.A.R.L.,4.7,45,156,False,2025-03-19
prod_00088,L'assurance d'avancer à la pointe,home,appliances,28.95,Chrétien SA,5.0,42,367,False,2025-04-30
prod_00089,L'art d'évoluer sans soucis,beauty,skincare,59.51,Bonneau,4.7,48,225,False,2025-05-11
prod_00090,L'assurance de concrétiser vos projets plus facilement,electronics,smartphone,56.35,Fournier Daniel SARL,5.0,45,43,False,2025-02-12
prod_00091,Le droit de louer à sa source,home,decor,21.13,Joubert Maréchal SARL,5.0,52,42,False,2024-10-25
prod_00092,Le pouvoir d'innover avant-tout,toys,educational,89.87,Julien,4.5,39,279,False,2025-08-16
prod_00093,Le droit de concrétiser vos projets à l'état pur,beauty,makeup,23.11,Delorme,4.0,48,358,False,2025-02-02
prod_00094,L'art de concrétiser vos projets en toute tranquilité,sports,outdoor,131.57,Jacob,3.9,53,42,False,2025-03-17
prod_00095,La liberté d'évoluer avant-tout,sports,fitness,90.92,Roger,4.0,50,537,False,2025-04-28
prod_00096,Le droit d'innover autrement,toys,educational,127.09,Gallet,4.6,40,922,False,2025-03-15
prod_00097,La possibilité de concrétiser vos projets autrement,books,fiction,15.64,Breton,4.6,54,585,False,2025-07-31
prod_00098,La liberté de louer plus rapidement,beauty,makeup,48.41,Mallet,4.2,45,141,True,2025-03-14
prod_00099,Le droit d'avancer naturellement,toys,dolls,39.35,Pottier S.A.,3.7,43,838,True,2025-01-29
prod_00100,L'avantage de concrétiser vos projets avant-tout,books,business,128.33,Blondel,4.4,49,309,False,2025-02-16
prod_00101,Le confort de louer en toute tranquilité,electronics,laptop,53.8,Barbier Georges S.A.,3.9,42,434,False,2024-12-27
prod_00102,L'assurance d'avancer de manière sûre,toys,board_games,63.58,Texier SARL,3.8,35,203,False,2025-07-09
prod_00103,La possibilité de louer naturellement,fashion,shoes,35.67,Barthelemy,4.0,47,255,False,2025-08-22
prod_00104,La possibilité d'innover plus facilement,books,cookbooks,156.79,Bourgeois Morel SA,4.4,39,488,False,2025-07-10
prod_00105,Le pouvoir d'innover autrement,sports,fitness,16.18,Devaux Meunier S.A.,3.1,45,183,False,2025-03-20
prod_00106,La liberté de changer à la pointe,electronics,laptop,82.57,Devaux SARL,3.8,51,580,False,2025-03-10
prod_00107,Le droit de rouler de manière efficace,sports,outdoor,110.6,Lucas,4.7,46,549,True,2025-04-09
prod_00108,Le plaisir de changer en toute tranquilité,beauty,fragrance,64.88,Roche,4.3,44,29,True,2025-05-30
prod_00109,La possibilité d'atteindre vos buts à l'état pur,beauty,fragrance,60.51,Collet Lefèvre et Fils,3.9,44,498,False,2025-05-26
prod_00110,L'assurance de concrétiser vos projets plus facilement,toys,educational,77.21,Boulanger,4.4,32,712,False,2025-08-10
prod_00111,La liberté d'avancer plus rapidement,home,decor,28.21,Maury,4.0,44,829,False,2025-04-07
prod_00112,Le pouvoir d'innover à l'état pur,home,decor,46.93,Leclercq,3.9,49,222,False,2024-10-27
prod_00113,Le confort d'évoluer en toute tranquilité,sports,yoga,102.55,Joly SARL,4.4,44,783,False,2025-09-12
prod_00114,Le pouvoir de rouler de manière efficace,fashion,shoes,18.27,Chartier,4.1,39,554,False,2024-11-30
prod_00115,L'art de rouler sans soucis,books,cookbooks,61.5,Roux S.A.R.L.,4.1,44,44,False,2024-10-19
prod_00116,La liberté de rouler naturellement,sports,fitness,22.87,Antoine S.A.S.,3.8,54,579,False,2025-05-21
prod_00117,Le confort de louer autrement,home,kitchen,89.09,Hervé,4.0,49,755,False,2024-12-23
prod_00118,L'avantage d'atteindre vos buts sans soucis,fashion,watches,17.63,Philippe S.A.S.,4.4,60,561,False,2025-02-23
prod_00119,Le droit de rouler avant-tout,fashion,accessories,110.17,Lucas Jacques S.A.,4.4,46,346,False,2024-12-30
prod_00120,L'avantage de louer à l'état pur,beauty,haircare,38.56,Samson et Fils,4.8,39,529,False,2024-11-27
prod_00121,La liberté d'avancer à l'état pur,sports,outdoor,105.81,Duval et Fils,3.4,48,725,True,2025-05-06
prod_00122,La liberté de concrétiser vos projets plus rapidement,sports,outdoor,242.35,Delmas Bazin SARL,4.8,43,257,False,2025-05-20
prod_00123,La liberté de changer à la pointe,sports,fitness,192.35,Wagner,4.0,50,320,False,2025-05-16
