search_id,session_id,query,results_count,search_timestamp
search_000000,session_000000,cosmétique bio,54,2025-10-08 08:51:04
search_000001,session_000001,cadeau anniversaire,64,2025-10-08 08:49:21
search_000002,session_000002,meuble salon,93,2025-10-08 08:49:48
search_000003,session_000003,cosmétique bio,52,2025-10-08 08:49:46
search_000004,session_000004,vêtement été,78,2025-10-08 08:50:31
search_000005,session_000005,meuble salon,42,2025-10-08 08:50:03
search_000006,session_000006,vêtement été,97,2025-10-08 08:49:10
search_000008,session_000008,jeux enfants,5,2025-10-08 08:51:31
search_000009,session_000009,cadeau anniversaire,54,2025-10-08 08:48:56
search_000010,session_000010,ordinateur portable,11,2025-10-08 08:48:58
search_000011,session_000011,décoration maison,94,2025-10-08 08:49:38
search_000012,session_000012,vêtement été,32,2025-10-08 08:50:30
search_000015,session_000015,décoration maison,63,2025-10-08 08:51:01
search_000016,session_000016,équipement fitness,69,2025-10-08 08:51:04
search_000017,session_000017,cosmétique bio,20,2025-10-08 08:49:27
search_000018,session_000018,vêtement été,70,2025-10-08 08:49:49
search_000019,session_000019,livre roman,21,2025-10-08 08:49:08
search_000021,session_000021,équipement fitness,88,2025-10-08 08:49:43
search_000022,session_000022,cosmétique bio,47,2025-10-08 08:50:56
search_000028,session_000028,jeux enfants,13,2025-10-08 08:51:19
search_000029,session_000029,vêtement été,71,2025-10-08 08:49:01
search_000030,session_000030,chaussures sport,73,2025-10-08 08:50:29
search_000033,session_000033,meuble salon,16,2025-10-08 08:51:21
search_000035,session_000035,chaussures sport,57,2025-10-08 08:49:02
search_000037,session_000037,décoration maison,27,2025-10-08 08:49:52
search_000038,session_000038,décoration maison,38,2025-10-08 08:49:28
search_000040,session_000040,smartphone pas cher,60,2025-10-08 08:50:39
search_000042,session_000042,vêtement été,50,2025-10-08 08:50:47
search_000043,session_000043,chaussures sport,41,2025-10-08 08:50:56
search_000044,session_000044,jeux enfants,28,2025-10-08 08:49:57
search_000045,session_000045,chaussures sport,19,2025-10-08 08:50:34
search_000046,session_000046,vêtement été,73,2025-10-08 08:50:51
search_000047,session_000047,cadeau anniversaire,53,2025-10-08 08:49:30
search_000048,session_000048,livre roman,72,2025-10-08 08:50:37
search_000049,session_000049,cadeau anniversaire,59,2025-10-08 08:51:45
search_000052,session_000052,meuble salon,43,2025-10-08 08:51:37
search_000053,session_000053,cosmétique bio,95,2025-10-08 08:49:33
search_000054,session_000054,équipement fitness,52,2025-10-08 08:50:25
search_000055,session_000055,ordinateur portable,98,2025-10-08 08:49:19
search_000056,session_000056,décoration maison,83,2025-10-08 08:49:21
search_000058,session_000058,meuble salon,58,2025-10-08 08:51:30
search_000059,session_000059,ordinateur portable,42,2025-10-08 08:49:45
search_000060,session_000060,équipement fitness,39,2025-10-08 08:50:21
search_000061,session_000061,équipement fitness,33,2025-10-08 08:50:01
search_000063,session_000063,meuble salon,67,2025-10-08 08:50:15
search_000064,session_000064,cosmétique bio,33,2025-10-08 08:49:29
search_000066,session_000066,équipement fitness,12,2025-10-08 08:50:05
search_000068,session_000068,cosmétique bio,11,2025-10-08 08:51:17
search_000069,session_000069,chaussures sport,50,2025-10-08 08:51:23
search_000070,session_000070,équipement fitness,93,2025-10-08 08:50:26
search_000071,session_000071,livre roman,90,2025-10-08 08:50:11
search_000072,session_000072,ordinateur portable,96,2025-10-08 08:50:24
search_000074,session_000074,chaussures sport,65,2025-10-08 08:50:09
search_000075,session_000075,vêtement été,17,2025-10-08 08:50:10
search_000076,session_000076,jeux enfants,76,2025-10-08 08:49:59
search_000077,session_000077,meuble salon,74,2025-10-08 08:50:03
search_000078,session_000078,décoration maison,51,2025-10-08 08:49:56
search_000079,session_000079,cosmétique bio,76,2025-10-08 08:49:12
search_000080,session_000080,meuble salon,79,2025-10-08 08:51:46
search_000083,session_000083,cadeau anniversaire,12,2025-10-08 08:49:37
search_000084,session_000084,équipement fitness,50,2025-10-08 08:50:10
search_000086,session_000086,meuble salon,30,2025-10-08 08:49:46
search_000087,session_000087,cosmétique bio,71,2025-10-08 08:49:28
search_000088,session_000088,chaussures sport,59,2025-10-08 08:51:13
search_000090,session_000090,décoration maison,70,2025-10-08 08:51:46
search_000091,session_000091,livre roman,38,2025-10-08 08:49:56
search_000092,session_000092,meuble salon,65,2025-10-08 08:51:46
search_000093,session_000093,livre roman,58,2025-10-08 08:50:06
search_000094,session_000094,équipement fitness,72,2025-10-08 08:50:52
